Reactor Number,Time ,Sand,Water,Biomass ,Respiration ,Year
7,21,GWS,RW,1.092478788,41.94258195,2015
7,28,GWS,RW,2.459292857,65.65192349,2015
7,35,GWS,RW,2.9971125,67.35871684,2015
7,42,GWS,RW,2.441895238,48.12311601,2015
8,0,GWS,RW,0.048928,17.54838681,2015
8,7,GWS,RW,0.530836923,38.81430191,2015
8,14,GWS,RW,1.530232,28.52405449,2015
8,21,GWS,RW,0.605664151,19.86848467,2015
8,28,GWS,RW,0.870498113,32.05393698,2015
8,35,GWS,RW,1.805654237,36.51041995,2015
8,42,GWS,RW,1.411786885,31.40455066,2015
9,0,GWS,RW,0.086626667,25.80340854,2015
9,7,GWS,RW,1.116035821,48.03872342,2015
9,14,GWS,RW,0.848630769,37.78196391,2015
9,21,GWS,RW,0.669289286,26.90945186,2015
9,28,GWS,RW,0.850596491,30.51590113,2015
9,35,GWS,RW,1.89060339,35.41370643,2015
9,42,GWS,RW,1.871828571,35.87202519,2015
10,0,RWS,RW,10.64418367,566.5083299,2015
10,7,RWS,RW,15.40940377,364.1070997,2015
10,14,RWS,RW,5.76742,178.9152105,2015
10,21,RWS,RW,10.37241852,253.5151449,2015
10,28,RWS,RW,7.570752542,143.9912979,2015
10,35,RWS,RW,8.790315625,201.7828699,2015
10,42,RWS,RW,6.89964127,134.3163027,2015
11,0,RWS,RW,7.322724528,425.0292927,2015
11,7,RWS,RW,25.03606667,595.5932555,2015
11,14,RWS,RW,5.316158621,295.2204172,2015
11,21,RWS,RW,10.40874035,375.1993147,2015
11,28,RWS,RW,7.086003509,273.9548685,2015
11,35,RWS,RW,6.594163077,289.5980736,2015
11,42,RWS,RW,7.388326316,146.2413382,2015
12,0,RWS,RW,7.722166038,414.7144776,2015
12,7,RWS,RW,13.41269355,318.1649267,2015
12,14,RWS,RW,4.584891429,217.5439068,2015
12,21,RWS,RW,7.615118519,279.433452,2015
12,28,RWS,RW,7.604407692,195.8162084,2015
12,35,RWS,RW,4.902733333,198.336697,2015
12,42,RWS,RW,7.095128302,168.3334707,2015
13,0,RWS,ARW,7.297663333,508.5305138,2015
13,7,RWS,ARW,20.74604528,480.2798756,2015
13,14,RWS,ARW,4.5191875,268.9455674,2015
13,21,RWS,ARW,13.63208475,193.98498,2015
13,28,RWS,ARW,13.08978846,203.9963159,2015
13,35,RWS,ARW,9.450713208,269.367137,2015
13,42,RWS,ARW,2.710315152,132.2919377,2015
14,0,RWS,ARW,8.973971429,469.8006662,2015
14,7,RWS,ARW,17.0244,462.458363,2015
14,14,RWS,ARW,7.630871698,228.9787825,2015
14,21,RWS,ARW,16.13005,297.1000559,2015
14,28,RWS,ARW,9.588901639,219.2578215,2015
14,35,RWS,ARW,12.48504815,97.12989019,2015
14,42,RWS,ARW,5.838470175,133.0613905,2015
15,0,RWS,ARW,6.630558333,492.46082,2015
15,7,RWS,ARW,16.97132903,420.6712456,2015
15,14,RWS,ARW,5.241317647,226.5417623,2015
15,21,RWS,ARW,8.692869091,281.5112936,2015
15,28,RWS,ARW,7.024594203,246.6036952,2015
15,35,RWS,ARW,9.521218519,213.6557625,2015
15,42,RWS,ARW,8.931948,106.4947694,2015
16,0,RWS,GW,9.119116667,441.4041706,2015
16,7,RWS,GW,12.15898529,595.7413067,2015
16,14,RWS,GW,2.642442105,531.1349845,2015
16,21,RWS,GW,17.22256078,311.1035169,2015
16,28,RWS,GW,10.34074237,258.6295236,2015
16,35,RWS,GW,14.64554444,227.4793944,2015
16,42,RWS,GW,11.69348627,168.8277567,2015
17,0,RWS,GW,6.56140303,416.4974621,2015
17,7,RWS,GW,13.9093082,467.8008885,2015
17,14,RWS,GW,6.277063492,281.4907818,2015
17,21,RWS,GW,12.35444706,240.3613764,2015
17,28,RWS,GW,8.69862963,170.3747815,2015
17,35,RWS,GW,8.235925806,159.6859658,2015
17,42,RWS,GW,7.059711111,99.9160968,2015
18,0,RWS,GW,8.260265385,426.4676381,2015
18,7,RWS,GW,14.10306545,459.4204424,2015
18,14,RWS,GW,4.811762319,199.4644329,2015
18,21,RWS,GW,10.25941791,252.8499359,2015
18,28,RWS,GW,13.28938909,151.3458331,2015
18,35,RWS,GW,11.91118846,162.7637664,2015
18,42,RWS,GW,7.602596296,167.2962474,2015
19,0,PZS,GW,1.112874074,51.4759649,2015
19,7,PZS,GW,3.125612308,55.37049235,2015
19,14,PZS,GW,1.288293939,53.37812875,2015
19,21,PZS,GW,1.33617931,46.92066249,2015
19,28,PZS,GW,0.014014219,43.87499397,2015
19,35,PZS,GW,2.0669125,46.45340937,2015
19,42,PZS,GW,2.423711111,55.28429233,2015
20,0,PZS,GW,1.321032,58.6588299,2015
20,7,PZS,GW,2.862275472,94.99840528,2015
20,14,PZS,GW,1.356098507,64.19559312,2015
20,21,PZS,GW,1.575325,64.80443949,2015
20,28,PZS,GW,3.074992453,96.67387175,2015
20,35,PZS,GW,1.882098182,67.69608305,2015
20,42,PZS,GW,1.820513043,65.36651157,2015
21,0,PZS,GW,6.80836,59.33817254,2015
21,7,PZS,GW,2.382537931,56.21367979,2015
21,14,PZS,GW,1.357419231,58.62929258,2015
21,21,PZS,GW,1.032629091,34.37835273,2015
21,28,PZS,GW,1.983484615,38.25806603,2015
21,35,PZS,GW,1.430661818,40.64799547,2015
21,42,PZS,GW,1.157325,39.67912191,2015
22,0,PZS,AGW,1.40631746,73.32271713,2015
22,7,PZS,AGW,1.972953333,89.12411868,2015
22,14,PZS,AGW,1.090441379,64.58900463,2015
22,21,PZS,AGW,1.6609875,42.65213717,2015
22,28,PZS,AGW,1.500958491,52.40673164,2015
22,35,PZS,AGW,1.964473077,41.73414466,2015
22,42,PZS,AGW,1.304447761,55.00051421,2015
23,0,PZS,AGW,1.187366667,74.71976812,2015
23,7,PZS,AGW,1.621209836,76.95241335,2015
23,14,PZS,AGW,1.703344,49.27760292,2015
23,21,PZS,AGW,1.716776,36.71144875,2015
23,28,PZS,AGW,1.799094118,55.24950127,2015
23,35,PZS,AGW,1.771239216,79.10921533,2015
23,42,PZS,AGW,1.360476667,55.78340005,2015
24,0,PZS,AGW,1.716285714,87.64845882,2015
24,7,PZS,AGW,2.928445614,139.7816318,2015
24,14,PZS,AGW,1.4315125,82.92562866,2015
24,21,PZS,AGW,1.3524,50.80816438,2015
24,28,PZS,AGW,1.653532,72.89165857,2015
24,35,PZS,AGW,1.455403125,50.21032392,2015
24,42,PZS,AGW,1.522942308,48.17064854,2015
25,0,PZS,RW,2.844684615,106.5272726,2015
25,7,PZS,RW,1.83965625,92.20936088,2015
25,14,PZS,RW,1.582562264,66.53918153,2015
25,21,PZS,RW,1.877109677,70.04893067,2015
25,28,PZS,RW,2.731692857,103.2735633,2015
25,35,PZS,RW,1.993457143,82.35584853,2015
25,42,PZS,RW,1.858848387,73.24018294,2015
26,0,PZS,RW,1.847956,107.2515961,2015
26,7,PZS,RW,1.92116129,94.25356801,2015
26,14,PZS,RW,1.413073684,66.59789062,2015
26,21,PZS,RW,1.214073016,55.36859519,2015
26,28,PZS,RW,3.407614545,56.26554374,2015
26,35,PZS,RW,2.190509091,60.26969,2015
26,42,PZS,RW,1.572588,53.96326403,2015
27,0,PZS,RW,1.248163934,90.81562193,2015
27,7,PZS,RW,3.474310714,84.99356838,2015
27,14,PZS,RW,1.206124528,79.98779473,2015
27,21,PZS,RW,2.098692063,60.74103094,2015
27,28,PZS,RW,2.710653333,66.03756828,2015
27,35,PZS,RW,1.453586207,84.8796569,2015
27,42,PZS,RW,1.800031034,100.1961847,2015
28,0,PZS,ARW,1.381358333,67.35422279,2015
28,7,PZS,ARW,4.182683636,72.69439756,2015
28,14,PZS,ARW,1.336086567,54.36796576,2015
28,21,PZS,ARW,1.564873077,43.48353082,2015
28,28,PZS,ARW,1.518652632,53.03684282,2015
28,35,PZS,ARW,1.452444444,47.82535516,2015
28,42,PZS,ARW,1.558253846,49.55603944,2015
29,0,PZS,ARW,1.469661017,93.85394547,2015
29,7,PZS,ARW,2.455838596,48.91231324,2015
29,14,PZS,ARW,1.577955556,57.03166553,2015
29,21,PZS,ARW,1.315025397,37.56703855,2015
29,28,PZS,ARW,2.448893103,58.14380906,2015
29,35,PZS,ARW,1.476451515,56.75706522,2015
29,42,PZS,ARW,2.151679245,45.03361945,2015
30,0,PZS,ARW,1.780748936,69.44317807,2015
30,7,PZS,ARW,2.915937313,45.57045378,2015
30,14,PZS,ARW,1.298822222,52.47151478,2015
30,21,PZS,ARW,1.440970492,41.87743589,2015
30,28,PZS,ARW,2.356088889,57.45035185,2015
30,35,PZS,ARW,1.807778182,39.2116575,2015
30,42,PZS,ARW,1.689665455,34.85481626,2015
